name,nomer,address,kota,keyword,is_wa,sudah,
Sate Ayam & Kambing Pak No,082333547456,"Jl. Candi Badut No.80, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",kota malang,warung kambing,tidak,
Sate Ayam & Kambing Madura,,"Jl. Karya Wiguna-Tegalgondo Karangploso No.50, Tunggulwulung, Kec. Lowokwaru, Kota Malang, Jawa Timur 65143",kota malang,warung kambing,,
Sop Kaki Kambing,085748845866,"Jl. Kyai Tamin No.120, Sukoharjo, Kec. Klojen, Kota Malang, Jawa Timur 65118",kota malang,warung kambing,tidak,
Sate ayam & kambing madura bang iwan,087838724766,"2J87+QJ4, Jl. Raya Langsep, Bareng, Kec. Klojen, Kota Malang, Jawa Timur 65146",kota malang,warung kambing,tidak,
Sate Gule Kambing Bang Elyas,,"3H6J+X7G, Kasin, Kec. Lowokwaru, Kota Malang, Jawa Timur",kota malang,warung kambing,,
Warung sate lumayan CAK ROFI,083834521873,"3J4C+XMJ, Jl. Soekarno Hatta, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,warung kambing,ada,
Sate Kambing dan Ayam,,"Jl. Kolonel Sugiono 5 No.8, Mergosono, Kec. Kedungkandang, Kota Malang, Jawa Timur 65134",kota malang,warung kambing,,
Warung Tengkleng,,"Jl. Bunga Coklat No.1, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,warung kambing,,
Sate Ayam & Kambing Cak Mat,,"Jl. Hamid Rusdi No.115, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65126",kota malang,warung kambing,,
Sate Sayang Trunojoyo,087786676217,"Jl. Trunojoyo, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111",kota malang,warung kambing,ada,
Sate Ayam dan Kambing Madura Barokah Bu Nur,087885269127,"Purwodadi, Kec. Blimbing, Kota Malang, Jawa Timur",kota malang,warung kambing,ada,
Sate Ayam & Kambing Bukit Barisan Bang ROZY,,"Jl. Bukit Barisan No.31, Pisang Candi, Kec. Sukun, Kota Malang, Jawa Timur 65146",kota malang,warung kambing,,
Sate ayam dan kambing aba asrof,,"Jl. Pisang Candi Barat No.37e, Pisang Candi, Kec. Sukun, Kota Malang, Jawa Timur 65146",kota malang,warung kambing,,
Soto kambing sam yudi,0859171567142,"Jl. S. Supriadi Jl. S. Supriadi Gg. 4 No.110.112, Sukun, Kec. Sukun, Kota Malang, Jawa Timur 65147",kota malang,warung kambing,ada,
Sate Ayam Kambing Suramadu,,"Jl. Watu Gong No.13, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145",kota malang,warung kambing,,
Sate Ayam & Sate Kambing Arodam,,"Jl. Taman Dieng Barat No.Kav.8, Pisang Candi, Kec. Sukun, Kota Malang, Jawa Timur 65146",kota malang,warung kambing,,
Sate Ayam Dan Kambing Pertigaan Janti,,"Jl. Janti Bar. No.26, Bandungrejosari, Kec. Sukun, Kota Malang, Jawa Timur 65148",kota malang,warung kambing,,
Sate Ayam Kambing Pak Redu,085933192908,"Jl. Pisang Kipas No.27b, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,warung kambing,tidak,
